Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Streetlamp,7,3,Couch,1,10,20,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Streetlamp,7,3,Phonebooth,0,6,25,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)"
Streetlamp,7,3,Swing,1,4,28,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)"
Streetlamp,7,3,Clock,3,3,31,"(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)"
Stepladder,5,5,TV,1,1,31,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)"
Stepladder,5,5,Desk,7,0,38,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)"
Stepladder,5,5,Water cooler,9,2,42,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)"
Stepladder,5,5,Streetlamp,7,3,45,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)->(9, 3)->(8, 3)->(7, 3)"
Stepladder,5,5,Fridge,7,6,4,"(5, 5)->(5, 6)->(6, 6)->(7, 6)"
Stepladder,5,5,Bicycle,8,8,7,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)"
Stepladder,5,5,Statue,6,10,11,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)"
Stepladder,5,5,Couch,1,10,16,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Stepladder,5,5,Phonebooth,0,6,21,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)"
Stepladder,5,5,Swing,1,4,24,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)"
Stepladder,5,5,Clock,3,3,27,"(5, 5)->(5, 6)->(6, 6)->(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)"
Fridge,7,6,TV,1,1,28,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)"
Fridge,7,6,Desk,7,0,35,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)"
Fridge,7,6,Water cooler,9,2,39,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)"
Fridge,7,6,Streetlamp,7,3,42,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)->(9, 3)->(8, 3)->(7, 3)"
Fridge,7,6,Stepladder,5,5,46,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)->(3, 2)->(2, 2)->(1, 2)->(1, 1)->(1, 0)->(2, 0)->(3, 0)->(4, 0)->(5, 0)->(6, 0)->(7, 0)->(8, 0)->(9, 0)->(9, 1)->(9, 2)->(9, 3)->(8, 3)->(7, 3)->(6, 3)->(5, 3)->(5, 4)->(5, 5)"
Fridge,7,6,Bicycle,8,8,4,"(7, 6)->(8, 6)->(8, 7)->(8, 8)"
Fridge,7,6,Statue,6,10,8,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)"
Fridge,7,6,Couch,1,10,13,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)"
Fridge,7,6,Phonebooth,0,6,18,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)"
Fridge,7,6,Swing,1,4,21,"(7, 6)->(8, 6)->(8, 7)->(8, 8)->(8, 9)->(8, 10)->(7, 10)->(6, 10)->(5, 10)->(4, 10)->(3, 10)->(2, 10)->(1, 10)->(0, 10)->(0, 9)->(0, 8)->(0, 7)->(0, 6)->(0, 5)->(0, 4)->(1, 4)"
